custom_pub_id,longitude,latitude
5b6ea2614ad3445390ddabac1eb2be46,-0.1368099,50.826588
43cd55cecb92074c5a38b76580af09e4,-4.584157,55.970978
144e065acad0cf935873ea0d85b68420,-2.0899525,51.729496
db9b2f67f9000dbfebb10b2aa72d5b8a,0.2683158,51.02184
3fbd240d46f488b0885914f3dedaafdc,-0.1364529,51.508305
281f904a7a0df082adbb46f71cb41dfe,-2.104319,57.144875
716354cf4977fa4f797cd6f2c83f1615,-2.3527968,51.38724
4d811a31ca9aa0a3ed24a27a5be795aa,-3.208696,55.950264
e671ccafd803fdaeb1ade1e4a37cce0c,-2.9526834,54.907314
1a076c25a502c7d9e35c57dfbc9c83fe,-2.2519534,53.102146
900959af35ea5d57f008ec8acaf94414,-0.1310033,51.531303
1efcf61debe328cd98b5e732455dd7fb,-3.1853356,55.94764
b53230e1fbc4f62e5e2340da67b178e7,-2.7599337,51.46163
39a71cd7b98b4704ace319c9801e2099,-3.1383853,52.66294
a0a45c4abdcb5d9e7d3109d0602cd381,-3.5109959,52.30032
33897b3afaf344684a35e7c90c13750e,-3.8314197,53.28086
679baf1b44872f8a525d7c5effc8ca02,-3.79618,51.99424
79b73ff65230f416d96b8132a3f05d60,1.6009268,52.149612
272b601e0de1c6263133585b281673e9,-3.3640172,52.74119
5a9c85bd1221bbb5fcbd0960a24bf1d3,-3.4441316,51.184937
e2060540c46af664485738f72f9c0d4b,-2.326564,51.232933
1a683c0ddd95fc8f7a93dba0ecea7960,-3.126271,52.07521
9093c83c27095a31ac71de974fbea2fb,-0.9539104,51.561527
8631cf8e82bc15e5fbdd28b713cb5d64,-1.2650863,52.378185
b321ae24b069a10fe9df35ee724238a4,-3.5730667,55.851
093ff80e075e1fb251769a21a0950460,-1.2698106,53.52385
c170ab2b8d9dc30887f1d9351fadb226,-2.962608,54.433495
25843b9f57c4540a2e4640da80862d9d,-2.7176614,51.147614
826df708fa3f77619b47d459047a549d,-0.8699732,51.500725
ecd4418d998740d8d052860ef30b7e53,-0.9276712,51.766846
e77a9398e5e2fbd254124657d5447007,-2.477881,53.77882
362a88e315b6a01822aec3936a507eaf,-2.971184,56.464684
42191b2094400899f70f08ef312822b6,-2.3338523,52.82869
39d587164a15c4cf2726a5c781aac409,-4.07622,50.69416
86b5f6ab0305df9bb72bf2fcaab0ca0a,-0.3139033,51.67726
46387896198d7cc900c0207d1523f984,-2.7821805,51.04704
71d4d63a2b09e90833dd06c25ee430f6,-0.2423692,51.287148
c4ddf9bbccb054dc4f22fdb9caf3e337,-3.4342935,56.39637
10be3fca8c75e1627a6ab4852b2abfae,-1.1134557,50.850086
6548ebec18170c75fafb0f5c0a11f106,-2.6469164,51.248646
25580311d67b1c177a412bac51ededc6,-2.0815458,53.4597
7dad42df67db6c2e6fc14fa85991d03d,-1.9944035,51.35069
783286b62738db90a2ef861e9070425c,0.2964075,50.775112
fabded9d5fe1fe825daf85a309899dad,-0.044691,51.046146
af4232cc9f23769068faff964ea6f296,-1.4309697,54.997505
01adc9a1fa58f3ddd721c54be83e8814,-0.013931,52.006245
5d9b85268cafd70827f5f2dc12c7a2a5,1.279119,52.63509
8993dc49f870d0dac0528e62f8495ec5,-0.9928756,50.853436
49e6973e5f0c78016401f94c4a1bbc9a,-1.7799115,54.278915
17cbb8d6a4d7bb26e882fc7958975ed4,-1.5144213,53.67857
15f4ab34f1e891317c8def6d939c2d1e,-1.5686111,54.775
63a46e3f37fc794c650e6ded869a1718,-2.0120137,51.016354
fcc1baa1137987530d8c44b59a8b6c71,-2.468803,50.611286
2884eb0a6fa587decc7177c1576472fd,-0.5936872,51.02719
68a330091375a704acadfaba382a06c0,-3.053671,52.017906
81079a35b2e450ec669f18b458de100b,1.2121372,52.944633
18cfd996c2501849c60c3b1be338b2d1,-1.654297,50.97589
3e640e04ebed2354d87c888157b9e322,-2.2288458,53.596268
134de5a199046ddc39daebf82f7eb128,-0.3597439,53.751316
9ed8332cc5a04a6ed26f6f679dd83e46,0.5184652,52.191246
65a5cd7518a77861921dc75143dfe19f,-0.1604905,51.65325
5e04b98a3baf40cb027752d2963a33f1,-1.75896,51.33947
1a086c65bdf887639a44173c92ef5884,0.2415188,51.317398
a1d0ac8b1c4b2035c3aad6afc2fcc759,-1.8431917,52.528404
e86559501e58de1a1b69568f0328fb95,-2.4441872,52.708477
ed98cc6beeb33a9ec7079fb73a257cb6,0.9033934,51.88397
e56cd98817915a2845b8123fe3010d90,-1.423716,51.588158
d6fa5d950cd4305fc919d56c01e75c1e,-1.207026,51.745174
7f2328c3c5c3196b3361a7307ac72710,1.1552641,52.365875
0e8bfd70e0a6fa2a7332982fe96a811f,-1.519906,54.912785
4875b58eae3b8d3e90a37369f8f0a4d2,-2.573663,50.95529
23e2e55a4649446797cf9cf6212fc996,1.2987161,52.632
8b5ded1809b35430d769d556aa3176ca,-5.5342565,50.117107
fe83350dce7dfef56ff24e4e88d523a3,-2.3019629,53.05437
feee9ea529e7c5700a19dd25caf77051,-0.2417183,50.970947
bc64676ed7a156175d54405032258485,-2.5788007,53.40172
49c3910bd2467d6e6f352ec7358f452e,0.724442,52.08835
d602525047485787fd617e847ff35443,-2.5487728,51.240772
1853ccd6e7c0a2abfcb94a6daca5ee52,-2.6471598,53.847046
d102a63246e2a32174cca5fe6c067c80,-3.029644,53.752636
530bfae97a7b6606ad2be15a1922cfca,-0.6110996,51.916634
1fd67a487ad314ec3bc294a8b4a4b165,-2.4593554,53.68082
f167562a10720dccead4c91ae62898cd,-4.736688,50.59363
edf857e8ba4004b691a54a3a8dd6b205,-4.3156366,50.50323
979274f375eb2545ba75e00462e5ae67,-2.1225631,52.587143
3c26fffeb502785b57ebf84640328181,-2.6483142,53.553833
dafff28ef8b254b253d9b966a14e6b0a,-2.104946,53.54185
fa62920c334fa66ea844929836f25272,-4.2247643,50.512146
064ae3b661024acd59babdbf4152672c,-0.2530357,52.564983
9353fd7010697c3b71617de5aa5b47aa,-0.2552787,52.592854
31865b8de9d6e821a3772dc02739a29a,-0.0723244,52.323288
041c49abdd97ebba4204611207ad1896,-3.3260102,51.129257
d5487d188f7ee884219e0e9f5d3f1f86,-1.6865594,52.85628
97ebdfd2223af59e56e9fd2d530d529c,-1.8962476,53.643127
276f1464839464808c56946d9a37e97e,-0.2919483,52.072796
9983ca8a5d159cc1b336d5c6a0bc1165,-2.037178,50.597923
8e60816b40706b9516be6e05497e9c72,0.0940471,52.183342
1199917a90e06ac79e0d1b1b892e6414,-2.321275,51.225666
6590c34a48c2bc1ec48f57338b43770f,0.414414,51.805073
e208747bb1cca2d3de129dd71b25687f,0.821915,51.653732
3d5f2736dc1fef3fdbcf7c1291fb52ac,0.2685599,51.621086
4989f8c833a4e756f750873be71602fe,-0.2658546,51.837444
1228e2b82fd070f31fb894c84ffb94bb,-0.1131684,51.895508
e0afa865840c11e8daea46aede237227,-0.5153272,51.90538
b54a5af323adde5754e7148c7a9d18a4,-1.8870836,53.66031
f18dd4b973f0b93355ec04ab6debf9f6,0.3721277,51.691376
3c4bd42e01fa8c62a78095fe8694206b,-0.3642961,51.645473
152e94067b3ba3cc5d11ea69d5c559d0,-0.0798823,51.794304
98415a4f60e1ed3d543ed3e5a130fca6,1.2286268,52.81063
17763f760ceb8efba703328a02f4aabd,0.668789,52.96604
a614dfb88f202e14532869fd3843b086,-2.2533033,53.486496
0e86d32915ec22c65f36d88202e9b19d,-0.2314182,51.49192
966a220ba045e4996a849a0d69ad622b,-3.2589626,51.406624
5966e7f7a2a50df0cd0cbeefa3ec37db,1.2341036,52.64757
d8e70c6b4866a0890db1a9ac54901fb0,0.3770941,52.60305
ee75836b7e8c77eb2018fef64043bd7b,1.1795541,52.596188
b16982b5776e6b421abdc8c7b668bcc3,-2.3090067,53.59746
fadf298c66047e9b3ba8e936a4faec37,-2.349084,53.483154
16ec85c708c66215f5185798c5b74972,-0.1556451,51.5197
a15377ffe2ed6d84bf998c33dfd05c2d,1.3030816,52.633823
113ad155243a2aae299b3fae0dea8a2f,-3.178979,51.480415
910e0484c92a9feb9d1ac156eb99f847,0.5039321,52.879482
0ecdca2b3aaae893f1cd715dc33f08d1,0.8748642,52.894478
7b96d5aa8821faf4a8455cef70b09a4a,-3.229147,51.683514
102632baf8bb3902f4367de294128475,-3.5549414,51.423996
5f93b425552100d78d7d1b2519d2b815,-0.1831485,51.527218
dc8e143f2cf54eb553c74adfa5e52498,1.1599483,52.0618
91a9d8060cb8b20871060238dbc6b0f2,0.8324924,52.29798
8ef9de21c10ede390a853725879b581b,1.4478445,52.376842
44470b7d05d7f1f1fbc5eb4118b134b1,1.3830117,52.051544
5860197fa3c8639234760ea73276dd59,-2.3527777,53.399723
948bb8aee8536427dc2fc2db3fc5cc10,-3.5284326,51.76917
29424f002fe11ed8324ee6cc16a9dd42,1.2591275,52.263996
27ebee2866d2584073864353d625f5ef,-0.2907566,52.21277
2c3a3fca5457051f7156f92418ba28b7,-0.1073775,52.450016
c355de9e8a4ec85ac25a92fc6f11ad64,-0.129081,52.55665
aafdbfbbf2b7a449d2d8555658b34a0c,-2.8906531,53.18779
9a8c15dba96197bde9372f2b3b4e0fa8,-2.2284572,53.468025
4e3d6422a9b5d9af5c958132d0b2608d,-3.292293,51.528175
8f3d78402413fcf2e53ce8529a0590e2,-2.2377648,53.4851
0158efc7676b43b87a368921a1dca494,0.4061389,51.52353
83dbf0f23f1a2bfdb76b95d090564769,0.6868747,51.685055
6ff15b546c9b10745bafdc13c5a16f33,-2.75534,54.666714
6339c05998c1f9e1b79d005eb8466305,-1.807944,54.30485
47fc9bc5851604c077bcb8ceec1a492d,-2.0639765,53.4843
6bfb0bcad22de22dddd69e0b933b229c,-3.3362901,51.60464
d4e322d30427ff6ef1600c3ef29839e1,-3.4193273,51.63411
b86106b5c4423c3b4cd601bd32e25c0a,-0.5342481,51.69671
148b6fa5100c43514fa9d80a7ae45b50,-0.4940188,52.02984
e11b4fe69f1715ea924a821fc897072f,-2.2350526,53.463123
459294a5729bc74814fc723808e76cea,-2.162735,53.459084
bf533728f904e6d4e38cd1fa69a560ba,1.3779211,52.56584
5d5ae1894868bd7a44d7a646522e1e1d,-2.6518488,52.268993
10dc13869fbf9dab77582428eecb8d12,0.9168553,52.46295
62e385ff399abfcf6d0cc44e97836e75,0.9386264,52.746895
2d17c478b962cd95c1014d0307fa18a2,0.6574077,52.298676
8af7ab26da2da47b793c4f3888431fb9,1.4350814,52.45779
b09045baa5dcb5f4b3f1efe105eb4978,0.4261775,51.73149
8251a395cc949a37a0ed23457a7d159a,1.2926165,52.632954
26f67c2bb079647e34f3cc6e48320824,0.0911022,51.163292
f0d916d3ae0735a1227308c0068f7eea,-0.2334383,51.696835
d6666c125717938604499d648b1d0459,-2.9358428,51.630165
5ef12cb1556a2be2d01e83c534406425,0.4033211,52.753857
b81476547e8ea9857f9e673f592d569d,0.996932,52.190544
ac3fb62a676880dcbc07fd64c9bf4238,-0.6472108,52.009403
b184239ea482984a120d7c32bc0e8ca6,-2.191265,53.444214
2767ed0eb0f599981d7c554672ede2c9,0.8365999,51.021904
eec77680daa4babd72272596e4d5ede0,-3.674844,50.274284
deec78100243d6e67663620010f3c5c9,-2.0088005,55.772945
c48b9191ba84f3e75a4a6a78f4d4467e,-2.6742482,51.78496
12fa58d6470b6832025e7a4bb0c5698a,-0.460471,52.137432
41d63a9edf1a26cb3f677f216294a3b1,-0.4530929,51.995033
4cc1ac656e022becef93bb6c845612c1,-3.403754,52.148388
64fb085a82bbf51df163363d11155791,-0.141329,51.515076
61f0a5d76bb06d80a74f5713d0b99dd1,-2.9637096,52.750565
3339201aa2e2f9d5eb9f60bce72698a3,-3.5152247,52.298298
6804af5e016b3b2e71a520c116780af3,-3.5407856,52.44766
ff409953a5bed5c13eb5ae54f8a668d6,0.4001031,52.241947
52b06cf805569c289028972a2ef3aa4a,1.2676333,52.617573
33dbed0508db715d698250118a755767,-2.1995814,53.067898
6a2d6187c75d95ef65f22ae7ee55950b,1.3025063,52.931355
cafbef4175f3d838b94113751626eb63,-0.4702623,52.12565
b13361a6f0f526cfbf30c31a2812cf36,-0.4625957,52.120865
c750230044e54c5df25f345e01a4e28c,-0.4920498,52.160164
2a2007e991b7c1fe253eb4e8f3d6736e,0.1247154,52.21444
b53a85198eaa7ec879548f115cbc90ae,0.5439276,51.757965
8006137672235acc719ec1f7c28c2977,-2.6105795,51.45477
